Organization,Ftype,RoundUSS,Investor,NXTP Labs,Monashees,Kaszek Ventures,Mountain Nazca,Redpoint eventures,Bozano Investimentos,Aurus,Investo,Alta Ventures Mexico,ALLVP,Angel Ventures,IGNIA,CRP Companhia de Participaçõe,e.Bricks Ventures,Confrapar,Magma Partners,CORFO,SP Ventures,DGF Investimentos,Mercado Libre Fund,Inseed Investimentos,Criatec 2,Astella Investimentos,DILA Capital,Velum Ventures,FCP,Scale Capital,Alaya Capital,Polymath,Primary Ventures,T2m Capital,Omidyar Network,Elevar Equity,Quona Capital,Gray Matters Capital,Performa Investimentos,Vox Capital,Promotora Social México,Pomona Impact,MOV Investimentos
1DOC3,Seed,"2,000,000.00","Mountain Nazca, TheVentureCity",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Not Company,Series A,  ,"IndieBio, Kaszek Ventures, SOSV",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresse,Series B,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kinedu,Convertible Note,"1,100,000.00","Advenio Capital Management, DILA Capital, Promotora Social México, StartX (Stanford-StartX Fund), Stella Maris Partners",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
DogHero,Series B,"2,400,000.00","Global Founders Capital, IGNIA, Kaszek Ventures, Monashees",,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresse,Private Equity,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
uAvionix,Series B,"5,000,000.00","Airbus Ventures, Playground Global, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROCAFONE,Venture - Series Unknown,"15,000,000.00","Alumni Ventures Group, Castor Ventures, FJ Labs, Lumia Capital, Mercado Libre Fund, Pedralbes Partners, rocketship.vc, Total Access Fund",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Arcus,Series A,"7,900,000.00","Alumni Ventures Group, Avalancha Ventures, Chestnut Street Ventures, Enlaces, GP Ventures, IGNIA, Kapor Capital, Total Access Fund, Tycoon Capital",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docket,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Móviles,Seed,"1,200,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxis Energy,Series E,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
VISOR ADL,Seed,"1,500,000.00","500 Startups, ALLVP, American Express Ventures, IGNIA",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindi,Series A,"1,811,482.96",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoco,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Solugen,Seed,"4,400,000.00","Brad Flora, Cantos, CrunchFund, Fifty Years, FundersClub, Hack VC, Investo, KdT Ventures, Liquid 2 Ventures, Massachusetts Institute of Technology - MIT, Refactor Capital, Social Capital, Todd Corenson, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abra,Series B,"18,500,000.00","American Express, Arbor Ventures, CMT Digital Ventures LLC, Foxconn Technology Group, IGNIA, Jungle Ventures, Lerer Hippeau, RRE Ventures, Silver8 Capital",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoPixel,Series A,"8,500,000.00","180 Degree Capital, Aurus, Binomial Ventures, Intel Capital, Lam Research, Runa Capital",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCALA EDUCACION,Seed,"700,000.00","Accion Venture Lab, Catalyst Fund, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konfio,Series B,"10,000,000.00","International Finance Corporation, Jaguar Ventures, Kaszek Ventures, QED Investors, Quona Capital",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Altave,Series A,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
